,Fold,Baseline Error,Ridge Error,KNN Error,RF Error,ANN Error,Logistic Error
0,0,0.7575445816186559,0.7575359114870076,0.9167043911272068,1.6530612244897955,0.11294188384205484,0
1,0,9.794581618655693,9.794821206901876,9.387052965142598,10.795918367346937,3.4397947954317374,16
2,0,3.4982853223593966,3.4981844268329447,3.8315980081484833,3.2743764172335603,3.3879971114743626,1
3,1,0.521604938271605,0.6412945686471149,0.34602076124567466,0.7585848074921955,0.056537048857435934,0
4,1,10.743827160493826,10.287226717714642,9.177335640138407,15.488033298647244,12.094777837567122,25
5,1,2.96604938271605,2.4835761781264716,2.429930795847751,1.0655567117585847,0.002452980250060799,0
6,2,1.8779149519890264,1.8712477699689367,0.7901234567901234,4.225308641975309,0.3227300650743281,1
7,2,6.914951989026064,6.584411501694874,8.669753086419755,5.975308641975309,4.616895291816547,9
8,2,1.8779149519890264,2.294746977022572,1.0,1.5764197530864197,2.8121420371574004,1
9,3,0.00034293552812071637,0.9310368228873781,0.25,0.6468398834204677,1.8358339683396174,1
10,3,0.9633058984910835,31.30612182006224,3.0625,4.906740129799892,3.098277264798753,9
11,3,3.926268861454046,347.6910600792615,20.25,3.354008923742563,41.4660714003478,16
12,0,0.01680384087791493,0.016816489726482472,0.004074241738343139,1.1995464852607711,0.8189455472189024,1
13,0,4.535322359396434,4.535358013100418,4.259393390674513,4.192743764172335,2.082710950316141,9
14,0,0.7575445816186559,0.7576014709198755,0.957899502037121,5.4444444444444455,7.83624575746677,0
15,1,0.07716049382716043,0.1275559085616691,0.08650519031141872,1.2029136316337148,0.39940587996625254,4
16,1,10.743827160493826,11.57172652281945,11.04584775086505,3.872008324661811,3.373221531228637,25
17,1,0.521604938271605,0.33995585610466994,0.4576124567474049,2.8137356919875125,0.24948849642386506,1
18,2,1.8779149519890264,0.9407655450625809,1.4938271604938274,0.6944444444444445,21.486935897273952,1
19,2,13.174211248285323,12.10894887496524,11.484567901234568,20.25,8.69941994745028,16
20,2,0.13717421124828538,0.001144596401603711,0.6049382716049381,0.44444444444444453,0.01959902802718716,0
21,3,0.00034293552812071637,0.17675696272043223,0.5625,0.7809626825310976,19.66484715639035,1
22,3,4.074417009602195,14.349978918451335,1.5625,1.3520822065981608,2.1281359246606826,0
23,3,0.9633058984910835,243.52323136529557,4.0,0.2919349798689978,26.88735950202704,9
24,0,1.276063100137174,1.2760023645802931,1.0,0.6553287981859407,9.305994848369892,4
25,0,4.535322359396434,4.535227962916003,4.0,3.4489795918367347,11.691308548183063,9
26,0,1.276063100137174,1.2759564660835476,1.0,0.0,10.60921751000025,4
27,1,5.188271604938271,4.3501113190275404,5.262975778546712,1.6649323621227892,8.452585961385978,9
28,1,0.521604938271605,0.913266348713932,0.6782006920415224,3.5005202913631637,13.909321823948858,0
29,1,5.188271604938271,4.2722985562739835,4.7370242214532885,4.532778355879292,3.152941476166461,9
30,2,6.914951989026064,5.231630568945923,4.938271604938272,2.25,1.7389912676417794,9
31,2,0.13717421124828538,2.0979371097811925,0.11111111111111106,0.44444444444444453,1.915225201258238,0
32,2,2.6556927297668036,3.396231789438571,2.0864197530864197,0.6944444444444446,4.445624974573107,4
33,3,1.037379972565158,58.311851714515015,1.5625,0.024338418664743722,18.288335901926075,0
34,3,0.00034293552812071637,136.24072653559483,0.25,2.7007992308154565,2.508333570747311,4
35,3,0.9633058984910835,311.158397696536,12.25,0.35860600324499725,17.371717058996182,9
36,0,0.01680384087791493,0.01681651279668775,0.004074241738343139,1.1995464852607711,0.5935959516751268,1
37,0,1.276063100137174,1.275955701265987,1.0,0.08163265306122441,8.911422871067481,4
38,0,0.01680384087791493,0.016824391619821244,0.007243096423721124,0.8185941043083899,5.9888476459891535,1
39,1,5.188271604938271,3.0090772805240484,2.71280276816609,0.20395421436004166,19.198906612474275,9
40,1,5.188271604938271,5.737402637407151,6.698961937716262,1.9993351832581792,9.960132201726083,16
41,1,0.07716049382716043,0.038434185640496936,0.07006920415224911,0.2341311134235172,0.7270430015836524,4
42,2,6.914951989026064,6.98752043114076,5.7067901234567895,13.444444444444443,7.023462152056311,9
43,2,31.692729766803843,31.27624328517026,31.484567901234563,18.777777777777782,13.4467197956983,36
44,2,0.39643347050754446,3.4495574469804215,0.0,0.003086419753086398,0.4005853459034938,1
45,3,0.9633058984910835,91.87411476337739,2.25,1.9795835586803674,5.703854758860473,9
46,3,0.00034293552812071637,107.05706623418523,0.5625,0.05053782825551357,2.476662857816393,36
47,3,0.00034293552812071637,207.75580119313435,1.5625,1.3792590589507838,28.016770049012848,4
48,0,0.7575445816186559,0.7574609387203018,0.8370303304662745,0.11111111111111113,1.2618453749087735,0
49,0,1.276063100137174,1.2761316587948077,1.131733816206428,0.009070294784580518,0.12430715810438642,4
50,0,0.01680384087791493,0.01681361698425859,0.004074241738343139,0.5804988662131518,27.299348383569168,1
51,1,5.188271604938271,6.962578863548366,6.698961937716262,8.15010405827263,13.278295912635386,16
52,1,5.188271604938271,4.216546952507088,3.7681660899653986,5.545265348595212,9.990949287798404,9
53,1,5.188271604938271,5.432762971261891,5.262975778546712,3.3808532778355884,8.172289265687382,16
54,2,0.39643347050754446,0.9391707989784485,0.04938271604938276,3.3611111111111107,0.6202319549774984,1
55,2,6.914951989026064,5.9529192284384145,5.188271604938271,16.0,0.0052221138050754234,9
56,2,1.8779149519890264,1.8664155234925186,2.595679012345679,0.1111111111111111,1.438136761098363,1
57,3,0.9633058984910835,84.8636574335503,3.0625,2.2791636620395397,10.438109675775195,9
58,3,1.037379972565158,18.568579093236686,0.0625,0.4090048674959435,0.8892896171210509,1
59,3,9.111454046639233,132.79218873940366,2.25,2.816672675920918,1.3382078259439822,1
